AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.556613021,0.516344044,0.160483535,0.940783987,0.528337237,0.550552429,0.676664667
0.551595314,0.51521142,0.161869003,0.939924906,0.528625059,0.550896955,0.67667818
0.559525793,0.517495614,0.160684474,0.940292276,0.528266479,0.550407013,0.676479423
0.55150919,0.510845822,0.161169102,0.941544885,0.528846154,0.551356994,0.677278871
0.555410759,0.512463795,0.161384487,0.942404007,0.528929492,0.551731331,0.677569392
0.55926891,0.513557635,0.153717627,0.947390397,0.528288708,0.550636876,0.678325859
0.558446308,0.516937134,0.160267112,0.940734558,0.528363807,0.550500835,0.676673672
0.556552143,0.514570472,0.153942428,0.946182728,0.527932961,0.550062578,0.677722994
0.552307285,0.512135816,0.1525,0.944606414,0.527196653,0.548635701,0.67671192
0.555410377,0.515249696,0.153108052,0.945810754,0.527797162,0.549624687,0.677515676
0.551612217,0.50959293,0.162150896,0.939583333,0.528722157,0.550948114,0.676669167
0.553883647,0.511689193,0.161519199,0.939457203,0.528293027,0.550407013,0.676284941
0.558534579,0.514123655,0.1565762,0.944073456,0.528257823,0.550407013,0.677448338
0.555768426,0.512652589,0.162150896,0.941225511,0.529053421,0.551688203,0.677366132
0.555355064,0.516856151,0.161384487,0.94115192,0.528598218,0.551105549,0.676973882
0.555165913,0.511410854,0.161869003,0.941201001,0.529067042,0.551616267,0.677370948
0.55175264,0.515247521,0.15464777,0.94375,0.527603075,0.5492811,0.676826535
0.557960534,0.51676792,0.160967473,0.941593659,0.528695245,0.551199166,0.677167717
0.554922028,0.514844749,0.161034627,0.940342094,0.528487691,0.55068836,0.676673672
0.559949743,0.518501188,0.162218515,0.94080867,0.529067042,0.551594747,0.677269317
0.55644754,0.514101114,0.154488518,0.946137787,0.528082032,0.550313152,0.677834281
0.553595537,0.513668377,0.161034627,0.940759282,0.528598218,0.550896955,0.67687228
0.551707482,0.510946341,0.161317216,0.939166667,0.528363807,0.550322984,0.676267627
0.548906605,0.508878392,0.161101836,0.942010847,0.529053421,0.551637805,0.677569392
0.555318609,0.513861745,0.161451815,0.941569282,0.52883263,0.551429168,0.677274092
0.55844736,0.514090461,0.158597663,0.941962422,0.528089888,0.550198288,0.676766162
0.554860619,0.515968167,0.161734056,0.94,0.528708695,0.550948114,0.676766162
0.55241915,0.512681459,0.161734056,0.939583333,0.528598218,0.550739737,0.676567657
0.553158622,0.515674537,0.15464777,0.944931164,0.527603075,0.549624687,0.677130045
0.551349466,0.512302236,0.162150896,0.941225511,0.529053421,0.551688203,0.677366132
0.553404261,0.514072,0.154359616,0.946599917,0.528165736,0.550479766,0.678021814
0.556347975,0.520497894,0.161451815,0.939949958,0.528611632,0.550782065,0.676673672
0.557708343,0.516420707,0.160751566,0.943632568,0.529274005,0.552192067,0.678169542
0.55204619,0.50716191,0.161236424,0.940267335,0.528527823,0.55075188,0.676687209
0.558557442,0.514086276,0.15984975,0.942404007,0.528681808,0.551126878,0.677366132
0.556128516,0.515957986,0.160684474,0.941962422,0.528708695,0.551241912,0.677274092
0.555458351,0.51608522,0.16125,0.94039183,0.528460998,0.550739737,0.676664667
0.551769518,0.507941606,0.162218515,0.939507718,0.528514433,0.550782065,0.676479423
