AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.087499601,0.510249118,0,0.999854312,0.676290895,0.676224259,0.806842229
0.183159152,0.384420069,0,0.999156474,0.49978903,0.499578237,0.666291661
0.182872447,0.380453849,0,0.998501499,0.499625094,0.499250749,0.666000333
0.532916667,0.674484017,0,0.991666667,0.49790795,0.495833333,0.662952646
0.438525329,0.588872761,0,0.984496124,0.49609375,0.492248062,0.65974026
0.893939394,0.933490046,0.848484848,0.893939394,0.855072464,0.871212121,0.874074074
0.678004535,0.768743377,0.833333333,0.642857143,0.794117647,0.738095238,0.710526316
0.916111111,0.94830236,0.933333333,0.866666667,0.928571429,0.9,0.896551724
0.777209642,0.826304506,0.810810811,0.72972973,0.794117647,0.77027027,0.76056338
0.16,0.393888889,0,0.8,0.444444444,0.4,0.571428571
0.910502959,0.945731657,0.903846154,0.903846154,0.903846154,0.903846154,0.903846154
0.958677686,0.95443067,0.909090909,0.909090909,0.909090909,0.909090909,0.909090909
0.865451389,0.90905852,0.875,0.833333333,0.869565217,0.854166667,0.85106383
0.5625,0.704166667,0,0.875,0.466666667,0.4375,0.608695652
0.206799248,0.46740238,0,0.983606557,0.495867769,0.491803279,0.659340659
0.76,0.824583333,0.8,0.6,0.75,0.7,0.666666667
0.400277008,0.546798308,0,0.894736842,0.472222222,0.447368421,0.618181818
0.672839506,0.807247899,1,0.555555556,1,0.777777778,0.714285714
1,1,1,0,0,0.5,0
