AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.839220609,0.838569493,0.786577741,0.816513761,0.792712551,0.801542631,0.804437141
0.813493052,0.812345504,0.731748018,0.826866917,0.755047619,0.779307468,0.789326961
0.834596195,0.834337607,0.802170284,0.791649269,0.8,0.796910875,0.795802728
0.851609172,0.855923211,0.815031315,0.805427975,0.813237774,0.810229645,0.809314034
0.837335927,0.82947484,0.737281068,0.833889816,0.760273973,0.78556529,0.795382166
0.828565935,0.832154057,0.764411028,0.807933194,0.774309724,0.786176655,0.790764201
0.817595269,0.823860953,0.699499165,0.83639399,0.735682819,0.767946578,0.7828125
0.822454852,0.828250504,0.619941594,0.856904464,0.692748735,0.738423029,0.76613204
0.819798261,0.815400796,0.724583333,0.83090379,0.751129518,0.777754634,0.789005339
0.827183938,0.810702595,0.67709637,0.850771155,0.725044405,0.763969975,0.782892213
0.814728446,0.822656262,0.587744894,0.88,0.681070622,0.733902896,0.767860389
0.828399194,0.827396561,0.716611018,0.836743215,0.746925084,0.776664579,0.789287121
0.830376306,0.823115876,0.776617954,0.813439065,0.784621578,0.795032352,0.798770492
0.836458362,0.829064742,0.66694456,0.8574406,0.720238095,0.76219258,0.782873454
0.819526497,0.825784777,0.708924103,0.842237062,0.743004418,0.775552774,0.789514867
0.810675911,0.815520689,0.585314977,0.881150959,0.680077245,0.733263816,0.767665758
0.837728741,0.822393496,0.780325135,0.8225,0.789284286,0.801416962,0.805549888
0.828993046,0.834836422,0.625104254,0.857321652,0.695666892,0.741188738,0.768080733
0.831845153,0.819264319,0.677930747,0.851481018,0.7255599,0.764705882,0.783493282
0.820731793,0.821953475,0.775229358,0.751146311,0.769756514,0.763185324,0.760337553
0.847852563,0.83966755,0.796659708,0.804175365,0.798176544,0.800417537,0.801164725
0.84466329,0.839883428,0.822277847,0.790988736,0.816537468,0.806633292,0.803560076
0.830266344,0.811151541,0.669445602,0.86125,0.722727273,0.765367785,0.785931559
0.852816159,0.847234316,0.817195326,0.81268252,0.81642917,0.814938452,0.814551537
0.818883231,0.815600607,0.605757196,0.873956594,0.689042448,0.739828917,0.770561178
0.841366352,0.837772802,0.788397329,0.814613779,0.793734744,0.801502818,0.804038739
0.82114909,0.823399261,0.636932055,0.834166667,0.696832579,0.73556991,0.759340034
