AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.855710113,0.853987159,0.913242009,0.871503497,0.954523696,0.885013302,0.911126342
0.267166651,0.402595276,0.008435259,0.999578237,0.502012286,0.504006748,0.668358714
0.211937039,0.386211716,0,0.9995005,0.499875094,0.49975025,0.666444629
0.749878472,0.785322648,0.75,0.766666667,0.754098361,0.758333333,0.760330579
0.666246019,0.728979517,0.395348837,0.88372093,0.59375,0.639534884,0.710280374
0.980257117,0.984113676,0.984848485,0.939393939,0.984126984,0.962121212,0.96124031
0.757369615,0.768160478,0.547619048,0.928571429,0.672413793,0.738095238,0.78
0.856666667,0.917951613,0.966666667,0.8,0.96,0.883333333,0.872727273
0.908692476,0.938006009,0.972972973,0.810810811,0.967741935,0.891891892,0.882352941
0.28,0.452380952,0,0.8,0.444444444,0.4,0.571428571
0.971893491,0.9702586,0.903846154,0.980769231,0.910714286,0.942307692,0.944444444
0.94214876,0.964646465,1,0.818181818,1,0.909090909,0.9
0.994791667,0.994785628,0.958333333,0.958333333,0.958333333,0.958333333,0.958333333
0.921875,0.929365079,0.75,0.875,0.777777778,0.8125,0.823529412
0.251814028,0.47642714,0,0.983606557,0.495867769,0.491803279,0.659340659
0.87,0.875703463,0.6,0.9,0.692307692,0.75,0.782608696
0.709141274,0.729586029,0.842105263,0.684210526,0.8125,0.763157895,0.742857143
0.814814815,0.871286121,1,0.555555556,1,0.777777778,0.714285714
1,1,1,0,0,0.5,0
