AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.829428077,0.8477632,0.625677366,0.941618015,0.715462611,0.783614759,0.81310767
0.709406348,0.791777763,0.179808093,0.981643721,0.544802038,0.580725907,0.700714711
0.879463947,0.894142051,0.613105175,0.963674322,0.713446677,0.788353162,0.819893428
0.750428215,0.813501231,0.354070981,0.906471816,0.583916084,0.630271399,0.710289547
0.906911244,0.917839149,0.767723103,0.920701169,0.798407528,0.844180225,0.855204497
0.876494385,0.89024191,0.611946533,0.972025052,0.714768192,0.792023387,0.823779193
0.698869028,0.64871892,0.397746244,0.929883139,0.606919096,0.663814691,0.734465139
0.690705546,0.784374026,0.153942428,0.997079683,0.540968764,0.575511055,0.701393984
0.869754963,0.880284716,0.777916667,0.915035402,0.804761905,0.846490315,0.856363282
0.860349788,0.810034616,0.776387151,0.912463526,0.803302752,0.844453711,0.854410617
0.835830989,0.863882349,0.675281367,0.849583333,0.723562811,0.762450511,0.781525489
0.830077356,0.848008979,0.607262104,0.953653445,0.708217054,0.780421624,0.812811388
0.807523761,0.845372055,0.612108559,0.876460768,0.693298118,0.744312252,0.774193548
0.85781487,0.877478886,0.897874114,0.697790746,0.872329338,0.79783243,0.775358962
0.746840978,0.804681599,0.39824854,0.947829716,0.611470113,0.672924489,0.743371522
0.780570601,0.825910753,0.421777222,0.970809008,0.626817447,0.696350365,0.761780105
0.897092365,0.913527368,0.784910379,0.91,0.808888889,0.847468223,0.856470588
0.861793725,0.875899518,0.620100083,0.974134335,0.719346888,0.797080292,0.827573985
0.86974453,0.897563297,0.773466834,0.90738423,0.800220751,0.840425532,0.850439883
0.893010658,0.908103983,0.788573812,0.900375156,0.809898763,0.844486137,0.852743782
0.808308367,0.837711634,0.604592902,0.929436326,0.70154428,0.767014614,0.799568966
0.86097566,0.868514054,0.759699625,0.910721736,0.791228706,0.83521068,0.84678045
0.842402043,0.85270277,0.61942476,0.974166667,0.719163334,0.796832673,0.827464166
0.770585867,0.818444515,0.391068447,0.969545265,0.614327254,0.680367202,0.75210356
0.835028987,0.850113943,0.59824781,0.968280467,0.706670728,0.783225537,0.817045254
0.857310985,0.871898434,0.654841402,0.969102296,0.73729352,0.811939052,0.837452643
0.782734212,0.82706994,0.350145894,0.96375,0.597365702,0.657011877,0.737563776
0.84285032,0.866134636,0.655689871,0.922083333,0.728200066,0.788914357,0.813752528
0.752542474,0.815004743,0.349312213,0.929078014,0.587909187,0.639074229,0.720129345
0.781483827,0.830872124,0.418090871,0.966235932,0.624124933,0.692163401,0.758383772
0.77325093,0.822583103,0.396745932,0.924488945,0.605133807,0.660617438,0.731473841
0.741639623,0.802650615,0.388819358,0.939532944,0.605970952,0.664233577,0.73675605
0.867736106,0.886920107,0.567014614,0.971189979,0.691644365,0.769102296,0.807919416
0.876961095,0.892640409,0.585213033,0.977443609,0.702070207,0.781328321,0.817181771
0.737361291,0.801993419,0.385225376,0.931552588,0.60242915,0.658388982,0.731683331
0.707273169,0.783914207,0.436560935,0.841753653,0.598930481,0.639115007,0.699878493
0.867658052,0.8964595,0.812083333,0.865777407,0.821598101,0.838924776,0.843109397
0.847025125,0.858014167,0.615095913,0.986232791,0.719196836,0.800625652,0.831808586
0.754077418,0.810898832,0.394659992,0.956612432,0.612446581,0.675636212,0.746783911
0.827135189,0.845236432,0.617180984,0.958298582,0.714552239,0.787739783,0.818667617
0.810903278,0.839606896,0.621351126,0.855773239,0.693346842,0.738586617,0.766044776
0.821165064,0.84585223,0.620258441,0.937057107,0.711617601,0.778657774,0.808924073
0.836595442,0.851754385,0.612687813,0.97245409,0.715162676,0.792570952,0.82419526
0.837803599,0.848869301,0.607916667,0.974989579,0.713109756,0.791414878,0.823736573
0.692356264,0.786553586,0.147206005,0.998749479,0.539518127,0.5730665,0.700584795
0.845614005,0.858853483,0.625626043,0.974134335,0.722462871,0.799916545,0.829632262
0.72289634,0.800457058,0.367389491,0.899040467,0.586873638,0.633159541,0.71016642
0.659812731,0.773244489,0.155546289,0.997498958,0.541647804,0.576610381,0.702068359
0.840682528,0.855268038,0.571607516,0.990814196,0.698146514,0.781210856,0.819123231
0.795095576,0.834235319,0.639282736,0.819282137,0.694130127,0.729244889,0.751531394
0.850265351,0.86335372,0.624010004,0.971654856,0.721002165,0.79783243,0.827769886
0.750871218,0.808274793,0.353088481,0.973288815,0.600721278,0.663188648,0.742911755
0.859632471,0.87329516,0.650959133,0.956630525,0.732673267,0.803794829,0.829806475
0.835584096,0.873745453,0.904881101,0.694201085,0.8794926,0.799541093,0.775938447
0.695147345,0.789952362,0.151919866,0.994991653,0.539855072,0.57345576,0.69994128
0.703487348,0.798485072,0.990404673,0.556713928,0.983063328,0.773514077,0.71086262
0.702679367,0.79462771,0.15497076,0.997077244,0.541373838,0.576111923,0.701733764
0.837558451,0.852058262,0.619683069,0.962870254,0.716770186,0.791240876,0.821790992
0.699765876,0.791666882,0.153653445,0.997913189,0.541195111,0.575871426,0.701790431
0.679528311,0.781016021,0.133555927,0.982888147,0.531482735,0.558222037,0.689907719
0.784405062,0.832922314,0.605592654,0.849874896,0.683204827,0.727784731,0.757480022
0.806738546,0.841824665,0.649144764,0.82721202,0.702089975,0.738159816,0.759532477
0.635877937,0.580343852,0.389236546,0.925323321,0.602390005,0.657279933,0.729725284
0.871464647,0.879601728,0.777035491,0.901878914,0.801781737,0.839457203,0.848889762
0.864865886,0.892008342,0.781954887,0.906015038,0.806020067,0.843984962,0.853097345
0.700850023,0.650532307,0.376460768,0.92910759,0.598602902,0.652899458,0.728104575
0.672108807,0.762844153,0.238849521,0.938673342,0.552011776,0.588615513,0.695195427
0.832661535,0.852704669,0.621610346,0.935779817,0.712154871,0.778727842,0.808794377
