AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.721156551,0.881593826,0.38630137,0.905594406,0.755102041,0.737511085,0.823529412
0.661232725,0.73893274,0.617039224,0.746098693,0.660814344,0.681568958,0.700871632
0.935935942,0.854867447,0.875124875,0.948551449,0.883666822,0.911838162,0.914960251
0.680190972,0.730253514,0.7,0.7125,0.703703704,0.70625,0.708074534
0.638182802,0.718495806,0.263565891,0.906976744,0.551886792,0.585271318,0.686217009
0.276400367,0.382629524,0,0.984848485,0.496183206,0.492424242,0.659898477
0.612811791,0.703745952,0.19047619,0.952380952,0.540540541,0.571428571,0.689655172
0.155555556,0.344062379,0,0.966666667,0.491525424,0.483333333,0.651685393
0.751643535,0.779452532,0.702702703,0.810810811,0.731707317,0.756756757,0.769230769
0.8,0.71,0.8,0.8,0.8,0.8,0.8
0.629807692,0.703021286,0.307692308,0.884615385,0.56097561,0.596153846,0.686567164
0.661157025,0.783603896,1,0.454545455,1,0.727272727,0.625
1,1,1,0.958333333,1,0.979166667,0.978723404
0.90625,0.908531746,0.75,0.875,0.777777778,0.8125,0.823529412
0.979037893,0.961482473,0.983606557,0.918032787,0.98245614,0.950819672,0.949152542
0.01,0.332137688,0,0.9,0.473684211,0.45,0.620689655
0.927977839,0.901102802,0.842105263,0.947368421,0.857142857,0.894736842,0.9
1,1,1,0.888888889,1,0.944444444,0.941176471
1,1,1,0,0,0.5,0
