AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.720804923,0.704464649,0.466444352,0.82735613,0.607843137,0.646862622,0.700812434
0.728976162,0.711014143,0.415102211,0.860241969,0.595265589,0.63767209,0.703634192
0.727760516,0.706126248,0.489565943,0.828392484,0.61864671,0.658943853,0.708318458
0.724791646,0.699614078,0.536951983,0.8,0.63338843,0.668475992,0.70701107
0.71252146,0.697620569,0.398665555,0.853505843,0.586464009,0.625990822,0.695223525
0.735278,0.719839783,0.482038429,0.837160752,0.617873652,0.659636667,0.710992908
0.725849949,0.709987953,0.420283806,0.856844741,0.596455549,0.638564274,0.703323056
0.714145881,0.687472747,0.308719232,0.905715478,0.567136886,0.607217355,0.69751004
0.715713678,0.6943496,0.51875,0.785922532,0.620315582,0.652364091,0.693367628
0.72841973,0.707647576,0.521068002,0.807419758,0.627876823,0.664303586,0.706418673
0.72524472,0.702191306,0.48812005,0.825416667,0.61732627,0.656803501,0.706364771
0.723945703,0.705942844,0.396494157,0.866388309,0.589321216,0.631392194,0.701487492
0.732095246,0.725733913,0.414613779,0.848497496,0.591848617,0.631600918,0.697307494
0.718459877,0.702280579,0.40433514,0.859107962,0.590544413,0.631721551,0.699949058
0.722850132,0.69398165,0.362802335,0.884808013,0.581140351,0.623696287,0.701522171
0.721550569,0.69857792,0.516478932,0.80442035,0.624676166,0.660479666,0.703244623
0.725326178,0.710672656,0.510629429,0.797083333,0.619695497,0.653886226,0.697284491
0.722880856,0.703602501,0.475396163,0.824363788,0.61100804,0.649843587,0.70182916
0.726557446,0.711007448,0.415936587,0.861910722,0.596076168,0.638923655,0.704758656
0.723634935,0.709279967,0.540867389,0.789495623,0.632387312,0.665207421,0.702261772
0.729601074,0.706650502,0.441336117,0.848851775,0.603085138,0.645093946,0.705168228
0.722207863,0.705597079,0.424697539,0.845640384,0.595126248,0.635168961,0.69860417
0.728790989,0.711968095,0.46477699,0.84,0.610909091,0.652427589,0.707368421
0.723615287,0.707511851,0.455342237,0.838130997,0.606216053,0.646776549,0.703554544
0.731272152,0.712122121,0.478931998,0.831385643,0.614625116,0.655122053,0.706758914
0.720204865,0.700385048,0.483305509,0.822546973,0.614089776,0.652890837,0.703194717
0.718928199,0.701838783,0.503126303,0.80625,0.618803965,0.654719733,0.700199023
0.719570133,0.691745419,0.456440183,0.837916667,0.606636501,0.64721817,0.70376203
0.733784397,0.719022223,0.486869529,0.831038798,0.61805771,0.658882402,0.708896797
0.736272808,0.729088647,0.509378908,0.819924969,0.625636132,0.664651938,0.709723976
0.729219653,0.708944894,0.549436796,0.784313725,0.635135135,0.666875261,0.701885384
