AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.472121483,0.645814826,0.000304414,0.999854312,0.676357544,0.67632279,0.80688966
0.471317717,0.502386247,0,0.999578237,0.499894537,0.499789119,0.66647919
0.498534682,0.505919076,0,0.9995005,0.499875094,0.49975025,0.666444629
0.546631944,0.553017121,0,0.995833333,0.498956159,0.497916667,0.664812239
0.47671414,0.478546335,0.07751938,0.96124031,0.510288066,0.519379845,0.666666667
0.629935721,0.62482707,0.242424242,0.893939394,0.541284404,0.568181818,0.674285714
0.605442177,0.624677108,0.404761905,0.785714286,0.568965517,0.595238095,0.66
0.704444444,0.733651194,0.466666667,0.8,0.6,0.633333333,0.685714286
0.858290723,0.894708572,0.945945946,0.72972973,0.931034483,0.837837838,0.818181818
0.72,0.741666667,0.4,0.8,0.571428571,0.6,0.666666667
0.833949704,0.841521364,0.692307692,0.865384615,0.737704918,0.778846154,0.796460177
0.619834711,0.722393723,0.272727273,0.818181818,0.529411765,0.545454545,0.642857143
0.505208333,0.514552439,0.041666667,0.958333333,0.5,0.5,0.657142857
0.484375,0.620192308,0,0.875,0.466666667,0.4375,0.608695652
0.519215265,0.596328709,0.016393443,0.983606557,0.5,0.5,0.662983425
1,1,1,0.9,1,0.95,0.947368421
0.606648199,0.638092064,0.578947368,0.684210526,0.619047619,0.631578947,0.65
0.592592593,0.704385738,0.222222222,0.777777778,0.5,0.5,0.608695652
1,1,1,0,0,0.5,0
