AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.817033161,0.823633105,0.718215923,0.78440367,0.735627689,0.751302898,0.759233098
0.814223001,0.816573169,0.675427618,0.818105966,0.715954728,0.746766792,0.763629283
0.813519836,0.825471334,0.714524207,0.784968685,0.733229329,0.749739094,0.758217383
0.812723097,0.820448875,0.675156576,0.809185804,0.713549337,0.74217119,0.758364312
0.808740694,0.819868104,0.69557965,0.795075125,0.722960152,0.745306633,0.757304711
0.809561831,0.821721518,0.732247285,0.769519833,0.74194847,0.75088745,0.755482681
0.804639445,0.811285898,0.732470785,0.764190317,0.740695793,0.748330551,0.752259655
0.810689084,0.818811841,0.727576137,0.770129328,0.738695478,0.748852733,0.754084967
0.806314904,0.808519676,0.73,0.765514369,0.739340306,0.747760883,0.752199714
0.814703596,0.821432549,0.701710471,0.798666111,0.728240213,0.750208507,0.761829026
0.820092226,0.827550006,0.745310546,0.769583333,0.751423922,0.757449469,0.760395224
0.808452501,0.816558641,0.693238731,0.802505219,0.723372224,0.747860572,0.760886778
0.806422325,0.815717993,0.675156576,0.79048414,0.708832335,0.732832394,0.747434886
0.81412465,0.821936888,0.729053772,0.771571488,0.740103958,0.75031263,0.755510204
0.81992924,0.830136797,0.68265221,0.809682805,0.718252499,0.74614101,0.761232097
0.815065346,0.821310888,0.733833959,0.772310259,0.7437751,0.753076121,0.757774141
0.816383563,0.820105631,0.703209671,0.794166667,0.728036669,0.748697645,0.759665205
0.810631113,0.818714629,0.727689741,0.767626199,0.738066586,0.747653806,0.752556237
0.813685547,0.822204137,0.645807259,0.823112224,0.699149539,0.734459741,0.756083541
0.809669445,0.817423171,0.730608841,0.769904127,0.740874448,0.75026058,0.755110384
0.81671105,0.828993811,0.652609603,0.817954071,0.701898961,0.735281837,0.755495565
0.811597517,0.821104525,0.697121402,0.795994994,0.724373576,0.746558198,0.758497317
0.816873524,0.82460216,0.71404752,0.790416667,0.734417344,0.75224005,0.761388722
0.816630746,0.832378241,0.716611018,0.780141844,0.733621028,0.748383059,0.756166599
0.811617959,0.821333066,0.666666667,0.813439065,0.709243086,0.740037555,0.75777605
0.81551211,0.823037458,0.678631052,0.808768267,0.715552272,0.743686078,0.759310074
0.81544984,0.827279789,0.724051688,0.786666667,0.740392157,0.755365701,0.762828283
0.813695811,0.823234006,0.771154648,0.752916667,0.766977929,0.762033757,0.759882254
0.808805922,0.816649943,0.691538141,0.795160617,0.720332577,0.743327773,0.755899266
0.812503508,0.821664019,0.693622343,0.800750313,0.723268072,0.747186328,0.760039565
0.804913805,0.811278798,0.693366708,0.7922403,0.72095672,0.742803504,0.754919499
0.813926951,0.820751083,0.75385899,0.763552961,0.75629905,0.758706986,0.759908695
