AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.501845953,0.67992938,0.000913242,0.999708625,0.676458991,0.676421322,0.806914393
0.441967034,0.470112681,0.001265289,0.999578237,0.50021106,0.500421763,0.666760445
0.420099631,0.479347835,0,0.9995005,0.499875094,0.49975025,0.666444629
0.585086806,0.59338071,0.0125,0.995833333,0.50210084,0.504166667,0.667597765
0.507842077,0.50113552,0.007751938,0.992248062,0.5,0.5,0.664935065
0.648530762,0.692330548,0.151515152,0.939393939,0.525423729,0.545454545,0.673913043
0.735260771,0.77044821,0.69047619,0.69047619,0.69047619,0.69047619,0.69047619
0.512222222,0.629738453,0.033333333,0.966666667,0.5,0.5,0.659090909
0.745069394,0.799922147,0.432432432,0.837837838,0.596153846,0.635135135,0.696629213
0.68,0.743333333,0.8,0.6,0.75,0.7,0.666666667
0.683431953,0.709487331,0.826923077,0.576923077,0.769230769,0.701923077,0.659340659
0.834710744,0.883380242,0.727272727,0.727272727,0.727272727,0.727272727,0.727272727
0.980902778,0.98317103,1,0.833333333,1,0.916666667,0.909090909
0.859375,0.889583333,0.5,0.875,0.636363636,0.6875,0.736842105
0.780435367,0.830609086,0.836065574,0.672131148,0.803921569,0.754098361,0.732142857
0.86,0.763643579,0.8,0.9,0.818181818,0.85,0.857142857
0.706371191,0.77243385,0.105263158,0.947368421,0.514285714,0.526315789,0.666666667
0.864197531,0.867592593,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
1,1,1,0,0,0.5,0
