AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.849997358,0.853118083,0.849937474,0.758548791,0.834786599,0.804252658,0.794843784
0.86696519,0.870374173,0.851898206,0.768460576,0.838416022,0.810179391,0.801915542
0.86067367,0.866977313,0.843071786,0.7565762,0.828153565,0.79983302,0.790748418
0.865742217,0.863832881,0.845511482,0.782881002,0.83518931,0.814196242,0.808189655
0.860475166,0.860959391,0.829441201,0.787562604,0.821864111,0.808510638,0.804347826
0.85580252,0.860498368,0.876775272,0.738622129,0.857073643,0.807684276,0.793451447
0.860365321,0.860287906,0.826377295,0.785475793,0.81897302,0.805926544,0.801874734
0.847390764,0.855980331,0.827701293,0.766791823,0.816525988,0.797246558,0.790877797
0.863584965,0.86584011,0.8375,0.781757601,0.827966476,0.809622995,0.8041988
0.846164869,0.854561495,0.868585732,0.753647353,0.851625059,0.811092577,0.799646174
0.868938968,0.875707129,0.854939558,0.77625,0.842605156,0.815586581,0.808067664
0.867984219,0.867976935,0.856427379,0.76993737,0.842778793,0.813191401,0.80471307
0.86027356,0.865101734,0.798329854,0.798831386,0.798498123,0.798580672,0.798664719
0.862716871,0.862632819,0.838682784,0.776156732,0.827923522,0.807419758,0.801204819
0.85452523,0.859531304,0.808173478,0.79048414,0.804587935,0.799332499,0.797473684
0.859577565,0.860899985,0.843137255,0.773561301,0.83146571,0.808342023,0.801469
0.872310338,0.863910602,0.860775323,0.776666667,0.848043676,0.818712232,0.810787299
0.863941165,0.863698713,0.816513761,0.786399666,0.810752688,0.801459854,0.798390512
0.865219161,0.864299646,0.821443471,0.7922403,0.816072196,0.806841886,0.803979678
0.850988614,0.855430695,0.84028357,0.754481034,0.825353397,0.797373358,0.788327526
0.867073104,0.873493375,0.825469729,0.77954071,0.817067834,0.802505219,0.797863248
0.861531824,0.863421181,0.858990405,0.760116813,0.843518519,0.809553609,0.799648892
0.864369703,0.86458428,0.844518549,0.773333333,0.832660386,0.808918525,0.801901059
0.856706665,0.871417457,0.853088481,0.774718398,0.840651879,0.813895264,0.806339557
