AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.441577746,0.637423352,0,0.999854312,0.676290895,0.676224259,0.806842229
0.781189514,0.774251626,0.760438633,0.743568115,0.756327756,0.752003374,0.749893662
0.800509181,0.792186275,0.818181818,0.728771229,0.800329128,0.773476523,0.762875817
0.835659722,0.842714123,0.754166667,0.783333333,0.761133603,0.76875,0.772073922
0.50838291,0.505333647,0.007751938,0.992248062,0.5,0.5,0.664935065
0.706382002,0.768738821,0.151515152,0.954545455,0.529411765,0.553030303,0.681081081
0.837301587,0.854137596,0.738095238,0.833333333,0.760869565,0.785714286,0.795454545
0.512222222,0.629738453,0.033333333,0.966666667,0.5,0.5,0.659090909
0.938641344,0.950424003,0.945945946,0.783783784,0.935483871,0.864864865,0.852941176
0.88,0.902857143,0.6,0.8,0.666666667,0.7,0.727272727
0.923816568,0.936136836,0.923076923,0.788461538,0.911111111,0.855769231,0.845360825
1,1,1,0.909090909,1,0.954545455,0.952380952
1,1,1,0.958333333,1,0.979166667,0.978723404
0.90625,0.928409091,1,0.625,1,0.8125,0.769230769
0.848696587,0.880968854,0.819672131,0.737704918,0.803571429,0.778688525,0.769230769
1,1,1,0.9,1,0.95,0.947368421
0.711911357,0.784129756,0.105263158,0.947368421,0.514285714,0.526315789,0.666666667
0.888888889,0.908333333,0.777777778,0.777777778,0.777777778,0.777777778,0.777777778
1,1,1,0,0,0.5,0
