AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.829836574,0.812578894,0.79783243,0.78440367,0.79501268,0.79111945,0.789672544
0.851894551,0.842378713,0.805173133,0.804338757,0.805010438,0.804755945,0.804674457
0.839529871,0.826970775,0.770033389,0.804592902,0.777643261,0.787309539,0.79088857
0.85118719,0.832288798,0.789979123,0.820041754,0.796108634,0.805010438,0.807897984
0.844227278,0.827154706,0.770225188,0.820534224,0.781088598,0.795369212,0.800325667
0.837699503,0.818259167,0.786967419,0.799164927,0.78960396,0.793067446,0.794355675
0.843011255,0.818801526,0.776293823,0.816777963,0.784997994,0.796535893,0.800572714
0.824213586,0.80509671,0.789737171,0.787651231,0.789297659,0.788694201,0.788473585
0.855087116,0.83977996,0.807083333,0.812161599,0.808122669,0.809622995,0.8101371
0.820751172,0.806875025,0.817688778,0.77365569,0.809419974,0.795663053,0.791133845
0.85025297,0.833312017,0.795748228,0.816666667,0.8,0.806209627,0.808247423
0.850994437,0.828496533,0.783806344,0.823382046,0.791967871,0.803590065,0.807369498
0.843190634,0.828719244,0.778705637,0.809265442,0.785338194,0.793988729,0.797122302
0.845402532,0.815541965,0.791996665,0.805752397,0.794819079,0.798874531,0.800248396
0.832714832,0.818669614,0.797748123,0.794240401,0.796901173,0.795994994,0.795568562
0.846150213,0.827279312,0.795160617,0.80442035,0.797107438,0.799791449,0.800747198
0.853038592,0.822513155,0.787411421,0.83,0.79616307,0.808710148,0.812729498
0.846576187,0.832846146,0.788990826,0.811013767,0.793469388,0.8,0.802145657
0.849262628,0.823126674,0.83521068,0.787234043,0.826906223,0.811222361,0.806582603
0.838998631,0.828140971,0.78440367,0.789912464,0.785655058,0.787158641,0.787778009
0.849626527,0.838297933,0.779958246,0.812526096,0.786898504,0.796242171,0.799506984
0.847598401,0.829411698,0.793074677,0.810179391,0.796554553,0.801627034,0.803309204
0.851120258,0.841080062,0.829929137,0.794583333,0.823758099,0.812252553,0.808907741
0.84173473,0.831702907,0.839315526,0.778055903,0.828888889,0.808679324,0.802668388
0.847605486,0.821256578,0.779724656,0.819699499,0.78812199,0.799707907,0.803600655
0.841502888,0.828037954,0.79590985,0.797494781,0.796165069,0.79670215,0.79682937
0.846002501,0.819126171,0.781992497,0.823333333,0.790716287,0.802667222,0.806695244
0.82411352,0.817677647,0.844518549,0.756666667,0.829602558,0.800583455,0.791457834
0.852600766,0.829046795,0.818257607,0.805590321,0.815800591,0.811926606,0.810663308
0.854487445,0.836607504,0.802000834,0.818674448,0.805248052,0.810337641,0.811905746
0.847495714,0.828006975,0.839382562,0.775552774,0.828431373,0.807467668,0.801120448
0.8487706,0.839046842,0.800166875,0.801918265,0.800582848,0.801042753,0.80125
0.840873776,0.827287955,0.792066806,0.802922756,0.794299876,0.797494781,0.79858804
0.837398425,0.81839925,0.814536341,0.80075188,0.811944091,0.80764411,0.806309148
0.844483432,0.826847508,0.78130217,0.80884808,0.787164907,0.795075125,0.797859201
0.846249142,0.81929967,0.777963272,0.825887265,0.788047809,0.801920267,0.806523955
0.838008285,0.818205172,0.8175,0.777824093,0.809895833,0.79766618,0.793536041
0.853950048,0.847572795,0.801918265,0.814351272,0.804285126,0.808133472,0.809286899
0.845612711,0.826180991,0.788485607,0.810179391,0.792976725,0.799332499,0.801485761
0.852365764,0.83099468,0.814845705,0.797331109,0.811544992,0.806088407,0.804375263
0.8582343,0.842314006,0.809841535,0.812838683,0.810473815,0.811340421,0.811654527
0.846067322,0.832525423,0.791162985,0.812421842,0.795510204,0.801792414,0.803877088
0.848784389,0.835487246,0.789232053,0.807595993,0.793032787,0.798414023,0.800248139
0.85359438,0.842183305,0.81375,0.802417674,0.811551433,0.808085018,0.806958709
0.842235488,0.814268028,0.773561301,0.822842851,0.784266985,0.798207213,0.803091945
0.848923564,0.835034334,0.792570952,0.817688778,0.797720798,0.805132485,0.807581376
0.848750071,0.838420292,0.788990826,0.810596579,0.793385055,0.799791449,0.801898473
0.852088078,0.833251326,0.80942452,0.807002918,0.809026327,0.808213467,0.808013356
0.845216853,0.825500884,0.792484342,0.811273486,0.796311475,0.801878914,0.803722854
0.839088048,0.825786565,0.792743953,0.798831386,0.793861468,0.7957864,0.796338673
0.855078737,0.842276002,0.787411421,0.816590246,0.793438639,0.802000834,0.804847987
0.823419267,0.813269758,0.828881469,0.765025042,0.817209095,0.796953255,0.790256521
0.845512507,0.82875944,0.806505421,0.804837364,0.806182122,0.805671393,0.805509182
0.847762526,0.825613794,0.785982478,0.822277847,0.793478261,0.804130163,0.807621389
0.847409846,0.837089989,0.783388982,0.812604341,0.789537713,0.797996661,0.800904977
0.850051653,0.830564983,0.806007509,0.803169308,0.805520703,0.804588113,0.804343287
0.852671606,0.82414737,0.823725982,0.806263048,0.820654484,0.814992692,0.813395114
0.843051399,0.822736383,0.796914095,0.803087192,0.798092869,0.8,0.800582242
0.849772411,0.838818661,0.797077244,0.811352254,0.8,0.804216239,0.805636138
0.845352821,0.830166254,0.783388982,0.809265442,0.788852726,0.796327212,0.798928719
0.839778401,0.811793281,0.769198664,0.811092577,0.778622898,0.79015436,0.794526144
0.8406195,0.817622694,0.791823112,0.800918197,0.7936311,0.796369706,0.797257998
0.849388463,0.830438149,0.759699625,0.831873175,0.775875486,0.7957864,0.802899134
0.842714249,0.82110075,0.781210856,0.810438413,0.787423935,0.795824635,0.798765432
0.842197913,0.823384363,0.762740184,0.824561404,0.776553895,0.793650794,0.799837925
0.847348792,0.826392269,0.785475793,0.821934946,0.793158954,0.803712975,0.8072906
0.841922731,0.829129392,0.793247186,0.799332499,0.794361526,0.796288574,0.79683926
0.850974755,0.834435866,0.798498123,0.816930776,0.802211302,0.807716371,0.809504132
0.842547761,0.829121942,0.777638715,0.809762203,0.784559418,0.793700459,0.79696161
0.84026452,0.828402948,0.788814691,0.803005008,0.791769547,0.79590985,0.7973477
0.851171712,0.8292822,0.788156797,0.817612688,0.794081881,0.802878598,0.805675509
0.848920609,0.825400632,0.792570952,0.808768267,0.795809367,0.800667919,0.802236488
0.843472536,0.819935835,0.773466834,0.817423927,0.783146965,0.795454545,0.799918417
0.839480756,0.824195359,0.770225188,0.81234362,0.779511805,0.791284404,0.795589136
0.857299412,0.843023318,0.821637427,0.800083472,0.817832765,0.81085595,0.808860759
0.845560899,0.838428461,0.791318865,0.805590321,0.794323324,0.798456082,0.79991715
0.840982073,0.824628937,0.811430955,0.781067556,0.805591398,0.79624609,0.793139953
0.840463795,0.822046744,0.766694491,0.815943239,0.777645187,0.791318865,0.796334012
0.847053703,0.827313819,0.787322769,0.811926606,0.792429792,0.799624687,0.802059732
0.845062739,0.832226215,0.787891441,0.802505219,0.790946502,0.79519833,0.796683938
0.85421904,0.8417636,0.776990413,0.826522102,0.787445371,0.801751094,0.806510682
0.841729897,0.821780241,0.775969962,0.814428691,0.784337349,0.795203337,0.799099836
0.841808566,0.826096531,0.794497707,0.798999166,0.795350768,0.796747967,0.797170793
0.855678749,0.837483012,0.785654712,0.827773144,0.794317727,0.806713928,0.810700429
0.845544137,0.833001275,0.796165069,0.802335279,0.7973477,0.799249531,0.799833714
0.843011298,0.828686728,0.804755945,0.793160967,0.802531646,0.798957247,0.797818792
0.84279978,0.832616991,0.790988736,0.798915311,0.79263245,0.794952023,0.795761479
0.847999463,0.830296244,0.797748123,0.807676262,0.799669558,0.802711157,0.803652968
0.848266984,0.827369708,0.804003336,0.804918716,0.80424823,0.804461122,0.804583333
0.840278944,0.827580349,0.822546973,0.767529215,0.812279152,0.795032352,0.789270386
0.831793123,0.81069531,0.796080067,0.786488741,0.794105263,0.791284404,0.790278651
0.842248168,0.824124915,0.778240934,0.8099208,0.785050505,0.794080867,0.797291752
0.835317213,0.825503482,0.766597077,0.798414023,0.773867314,0.782508871,0.785949055
0.843832131,0.836007267,0.819699499,0.776711185,0.811600523,0.798205342,0.793772659
0.844278822,0.82541963,0.781393408,0.816854401,0.788879936,0.799123905,0.802623488
0.848354436,0.83128774,0.791579825,0.811666667,0.795751634,0.801625339,0.803630363
0.850796321,0.838113384,0.797663746,0.810179391,0.800164813,0.803921569,0.805140962
0.839744861,0.82735339,0.788485607,0.797748123,0.790495868,0.793117831,0.794105438
0.844301934,0.820113534,0.793823038,0.804755945,0.796120512,0.799290632,0.800414938
0.848990017,0.831929541,0.78125,0.812916667,0.787964459,0.797083333,0.800246103
