AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.377509331,0.603053581,0,0.999854312,0.676290895,0.676224259,0.806842229
0.822037907,0.841283949,0.963728385,0.693378321,0.950289017,0.828553353,0.801755669
0.821599729,0.829469496,0.959040959,0.689310689,0.943912449,0.824175824,0.796766744
0.891076389,0.914333079,0.7625,0.854166667,0.782442748,0.808333333,0.816733068
0.507751938,0.507751938,1,0.015503876,1,0.507751938,0.030534351
0.772727273,0.772727273,1,0.53030303,1,0.765151515,0.693069307
0.776077098,0.798947583,0.452380952,0.904761905,0.62295082,0.678571429,0.737864078
0.516666667,0.516666667,1,0.033333333,1,0.516666667,0.064516129
0.959094229,0.965940885,0.891891892,0.918918919,0.894736842,0.905405405,0.906666667
0.88,0.925,1,0.6,1,0.8,0.75
0.976331361,0.978050113,0.961538462,0.903846154,0.959183673,0.932692308,0.930693069
0.975206612,0.980519481,1,0.818181818,1,0.909090909,0.9
1,1,1,0.958333333,1,0.979166667,0.978723404
0.6875,0.6875,1,0.375,1,0.6875,0.545454545
0.876914808,0.868116294,0.93442623,0.786885246,0.923076923,0.860655738,0.849557522
0.99,0.990909091,0.9,0.9,0.9,0.9,0.9
0.631578947,0.631578947,1,0.263157895,1,0.631578947,0.416666667
0.666666667,0.666666667,1,0.333333333,1,0.666666667,0.5
1,1,1,0,0,0.5,0
