AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.675649362,0.639062039,0.277615673,0.889908257,0.551848979,0.583698145,0.681245012
0.676450399,0.647768401,0.269086358,0.885690446,0.547870968,0.577388402,0.676977041
0.670936251,0.639131341,0.476210351,0.767014614,0.594113842,0.621582133,0.66958265
0.663742836,0.633376276,0.171189979,0.935281837,0.530177515,0.553235908,0.67673716
0.684774614,0.643087695,0.284820684,0.888981636,0.55396619,0.586775136,0.682582919
0.669465068,0.636029004,0.251461988,0.894780793,0.544599746,0.573188557,0.677093207
0.681121987,0.647032691,0.255843072,0.896494157,0.546425846,0.576168614,0.678994784
0.687635723,0.652026453,0.378389654,0.841051314,0.575014261,0.609720484,0.683042521
0.686945283,0.648054735,0.36,0.853810912,0.571667596,0.606956884,0.684817104
0.678366803,0.646447396,0.360033375,0.832430179,0.565562164,0.596330275,0.673524452
0.679925403,0.647229796,0.350145894,0.849583333,0.566703724,0.599916649,0.679893298
0.677155036,0.649400367,0.369365609,0.827557411,0.567420555,0.598413692,0.673233696
0.678385514,0.64480264,0.283507307,0.887312187,0.553357626,0.585472761,0.681628727
0.672785625,0.645732534,0.184660275,0.925802418,0.531721331,0.555231346,0.675486618
0.672937834,0.646311601,0.268974145,0.879799666,0.545972546,0.574259491,0.673805338
0.680674046,0.650717952,0.370045891,0.836113428,0.570412518,0.603128259,0.678166751
0.678504759,0.648227732,0.26177574,0.885833333,0.545547857,0.573869556,0.675242179
0.681455447,0.641355375,0.478315263,0.787234043,0.601338432,0.63274244,0.681842818
0.656964649,0.625130422,0.250312891,0.887359199,0.54204893,0.568836045,0.672994779
0.665055742,0.630552189,0.349874896,0.841183827,0.564159911,0.595580571,0.675368139
0.664550625,0.6397608,0.178705637,0.919832985,0.528297362,0.549269311,0.671134806
0.671676841,0.640447302,0.254067584,0.890696704,0.544226357,0.572382144,0.675632911
0.675633337,0.647099064,0.128803668,0.955,0.523048836,0.541987914,0.675906812
0.676214112,0.639767568,0.273372287,0.894034209,0.551750772,0.583767995,0.682375418
0.67446065,0.647014475,0.135168961,0.956594324,0.525085911,0.545795952,0.678006212
0.683220555,0.650763583,0.377295492,0.839248434,0.573957738,0.608223753,0.681702561
0.676420991,0.63919955,0.358065861,0.83625,0.565830279,0.597207752,0.674962166
0.675697687,0.643076485,0.367236348,0.828333333,0.567027952,0.597832882,0.673213681
0.66473941,0.635219918,0.338474364,0.840634126,0.559411438,0.589449541,0.67177863
0.679443168,0.645643824,0.365152147,0.838682784,0.569165488,0.601917466,0.678126053
0.660431122,0.633622302,0.16478932,0.925323321,0.525592417,0.54505632,0.670394439
0.66263753,0.636802523,0.262828536,0.879899917,0.544235233,0.571428571,0.67250996
0.681250692,0.653767325,0.368267223,0.842588727,0.571509487,0.605427975,0.681066487
0.682779247,0.652803701,0.266499582,0.887218045,0.54742268,0.576858814,0.677080013
0.682472492,0.655425039,0.369365609,0.828046745,0.567668097,0.598706177,0.673569852
0.677755201,0.6394859,0.352253756,0.848016701,0.566843427,0.60008349,0.679491469
0.683915781,0.655778354,0.470416667,0.776156732,0.594318545,0.623254845,0.673174259
0.687933085,0.660909521,0.374061718,0.843971631,0.574063564,0.608967675,0.683330518
0.655344194,0.636380212,0.165623696,0.920734251,0.524601854,0.543178974,0.668382798
0.673620062,0.64728559,0.369891576,0.833611343,0.56951567,0.60175146,0.676709546
0.683053754,0.656010091,0.192243536,0.933305544,0.536159004,0.562851782,0.681064639
0.668344859,0.633132374,0.274697791,0.881617341,0.548638132,0.578157566,0.676367125
0.686257058,0.659227505,0.369365609,0.838480801,0.570738636,0.603923205,0.679175118
0.668676098,0.636688223,0.26375,0.89287203,0.547966232,0.578245468,0.679137603
0.661964031,0.629555334,0.276063386,0.878282618,0.548269581,0.577235772,0.675104133
0.675453039,0.644223149,0.284223706,0.879432624,0.551399425,0.581890257,0.677813505
0.669723727,0.640875845,0.271893244,0.883187317,0.548019674,0.577476538,0.676357827
0.671563179,0.64568793,0.257297748,0.88078366,0.542629687,0.569105691,0.671539806
0.680357652,0.64767965,0.225052192,0.918580376,0.542406312,0.571816284,0.682064796
0.660734338,0.629461067,0.137614679,0.952003339,0.524488388,0.544639132,0.676352854
0.685494998,0.654896329,0.379741559,0.842017507,0.575826682,0.610879533,0.683934315
0.667444924,0.63262446,0.348914858,0.841402337,0.563758389,0.595158598,0.675150703
0.672373367,0.642797111,0.189741451,0.924520434,0.532932692,0.557130942,0.676120769
0.675234079,0.635242438,0.277847309,0.889027952,0.551786639,0.58343763,0.680939447
0.677460835,0.647787366,0.257095159,0.89148581,0.545454545,0.574290484,0.676806084
0.683041389,0.651757687,0.377138089,0.84028357,0.574401368,0.608759124,0.682356925
0.670374178,0.636585341,0.364243943,0.837995825,0.56871635,0.601169346,0.677582714
0.676759558,0.641261398,0.371559633,0.840634126,0.572118115,0.606047967,0.680858253
0.673469526,0.638478884,0.472651357,0.773372287,0.594672657,0.623043206,0.672351234
0.690514815,0.663399123,0.384808013,0.839315526,0.577044476,0.61206177,0.683897296
0.681942886,0.654817352,0.273789649,0.87823186,0.547581903,0.576136838,0.674567585
0.68495295,0.65905661,0.463078849,0.782971619,0.593107809,0.622991863,0.674941536
0.679300053,0.652818315,0.450146016,0.778055903,0.585925228,0.61410096,0.668458781
0.67319738,0.643383579,0.341127349,0.841336117,0.560812691,0.591231733,0.673012692
0.673148078,0.643807232,0.255639098,0.901837928,0.5478305,0.578738513,0.681610103
0.675489522,0.642582175,0.254173623,0.897831526,0.546446701,0.576136838,0.679394131
0.670084601,0.633097131,0.250937891,0.89612015,0.544486692,0.573394495,0.677388836
0.669480947,0.641072876,0.367542762,0.8323603,0.56833713,0.6,0.675465313
0.667070453,0.633665056,0.188986233,0.932415519,0.534816942,0.560700876,0.679744526
0.681370471,0.641288993,0.373539232,0.843071786,0.573700653,0.608305509,0.682778435
0.677179334,0.644769539,0.28940784,0.877712855,0.552403467,0.58343763,0.678059004
0.67788921,0.650001953,0.357262104,0.836325678,0.565340107,0.596743895,0.674637925
0.658084659,0.625762557,0.185231539,0.924968737,0.531879195,0.555254379,0.675391873
0.671255446,0.642486186,0.176396997,0.922018349,0.528189202,0.549207673,0.67162819
0.677816202,0.645823503,0.267752715,0.898998331,0.551318147,0.583507307,0.683484055
0.692136909,0.658110125,0.378130217,0.845640384,0.576343475,0.611934071,0.685492053
0.676033219,0.646658157,0.266583229,0.88323603,0.546439628,0.574973931,0.675167357
0.673506606,0.641580338,0.170701169,0.936143573,0.530260047,0.553422371,0.677029882
0.661789067,0.630007263,0.107172644,0.957464554,0.517466757,0.532318599,0.671836138
0.680750868,0.649946337,0.269728601,0.887682672,0.548645161,0.578705637,0.67814992
0.669997594,0.641305385,0.17799083,0.924937448,0.529355609,0.551386283,0.673345477
0.662540279,0.623248778,0.257822278,0.896580484,0.547213031,0.577267987,0.679626995
0.656266459,0.631175056,0.180491872,0.920350292,0.528876108,0.550343965,0.671739461
0.672932806,0.641157569,0.267306088,0.886989158,0.547631308,0.577147623,0.677172875
0.683777053,0.645164025,0.282200917,0.891576314,0.55388601,0.586825099,0.683285395
0.690550079,0.661082974,0.355027117,0.845704754,0.567431449,0.600417101,0.679169457
0.672874016,0.640461043,0.368377138,0.833959116,0.56902932,0.601168127,0.676480541
0.690806342,0.655548559,0.499165972,0.768043388,0.605193951,0.633576642,0.676962677
0.676774813,0.646282378,0.470809008,0.776573572,0.594827586,0.62372316,0.673657566
0.671765225,0.643923121,0.271398747,0.884390651,0.548395445,0.577958673,0.676996805
0.666528213,0.635206566,0.198498749,0.915763136,0.533268577,0.557130942,0.674033149
0.663642243,0.630146967,0.355147978,0.834931221,0.564225352,0.5950396,0.673390486
0.678692044,0.646259595,0.361169102,0.838898164,0.56779661,0.60008349,0.67722372
0.687059732,0.652844349,0.486227045,0.770033389,0.599804941,0.628130217,0.674342105
0.671906059,0.633135542,0.262828536,0.906549854,0.551522843,0.584689195,0.685813476
0.678059087,0.647239084,0.266777824,0.887916667,0.54781491,0.577411961,0.677583466
0.669772865,0.636894714,0.184814351,0.928243638,0.532424025,0.556528995,0.676703163
0.681521818,0.647962099,0.186483104,0.932443703,0.534161491,0.559541189,0.679222357
0.66959569,0.638062194,0.349749583,0.832707551,0.561620709,0.591278948,0.670811628
0.663130035,0.633174746,0.27625,0.8775,0.548009368,0.576875,0.674675637
