AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.404414225,0.621180129,0.00152207,0.994463869,0.675440332,0.673071239,0.804478491
0.489448188,0.502957208,0.169548714,0.810206664,0.493830334,0.489877689,0.613639994
0.520776302,0.517848626,0.227772228,0.787712288,0.504963176,0.507742258,0.615414634
0.648828125,0.681296916,0.0625,0.9625,0.506578947,0.5125,0.663793103
0.595607235,0.650069634,0.139534884,0.914728682,0.515283843,0.527131783,0.659217877
0.654499541,0.643019301,0.272727273,0.848484848,0.538461538,0.560606061,0.658823529
0.622732426,0.666003839,0.357142857,0.714285714,0.526315789,0.535714286,0.606060606
0.760555556,0.781881205,0.733333333,0.633333333,0.703703704,0.683333333,0.666666667
0.716581446,0.757034656,0.837837838,0.594594595,0.785714286,0.716216216,0.676923077
0.92,0.911111111,1,0.4,1,0.7,0.571428571
0.810835799,0.824361638,0.673076923,0.730769231,0.690909091,0.701923077,0.710280374
0.859504132,0.857359307,0.636363636,0.818181818,0.692307692,0.727272727,0.75
0.925347222,0.916174128,0.916666667,0.75,0.9,0.833333333,0.818181818
0.5546875,0.644978632,0.375,0.5,0.444444444,0.4375,0.470588235
0.649019081,0.614660589,0.590163934,0.62295082,0.603174603,0.606557377,0.612903226
1,1,1,0.9,1,0.95,0.947368421
0.495844875,0.570334928,0.421052632,0.473684211,0.45,0.447368421,0.461538462
0.333333333,0.508333333,0,0.666666667,0.4,0.333333333,0.5
1,1,1,0,0,0.5,0
