circRNA,disease,preScore
hsa_circ_0060927,Colorectal cancer,0.8008
hsa_circ_0000504,Colorectal cancer,0.7698
hsa_circ_0002138,Colorectal cancer,0.7665
hsa_circ_0053277,Colorectal cancer,0.7634
hsa_circ_0127801,Colorectal cancer,0.7528
hsa_circ_0000711,Colorectal cancer,0.7498
circ_0000338,Colorectal cancer,0.747
hsa_circ_0082182,Colorectal cancer,0.7409
circ_0071589,Colorectal cancer,0.7389
hsa_circ_0000231,Colorectal cancer,0.7364
hsa_circ_0037251,Colorectal cancer,0.7335
circ_0032833,Colorectal cancer,0.7324
hsa_circ_0074039,Colorectal cancer,0.73
hsa_circ_0008460,Colorectal cancer,0.729
hsa_circ_0008509,Colorectal cancer,0.7235
hsa_circ_0106714,Colorectal cancer,0.7207
hsa_circ_0084188,Colorectal cancer,0.7167
hsa_circ_0038646,Colorectal cancer,0.7043
hsa_circ_0079662,Colorectal cancer,0.6994
hsa_circ_0082333,Colorectal cancer,0.6991
hsa_circ_0000826,Colorectal cancer,0.6959
hsa_circ_0008558,Colorectal cancer,0.6925
hsa_circ_0000598,Colorectal cancer,0.6878
hsa_circ_0007006,Colorectal cancer,0.6861
hsa_circ_0021977,Colorectal cancer,0.6837
circ_0007142,Colorectal cancer,0.6836
hsa_circ_0035445,Colorectal cancer,0.6829
hsa_circ_0137008,Colorectal cancer,0.6811
hsa_circ_0023990,Colorectal cancer,0.68
hsa_circ_0000523,Colorectal cancer,0.6796
hsa_circ_0000374,Colorectal cancer,0.6795
hsa_circ_0072566,Colorectal cancer,0.6786
circ_0005927,Colorectal cancer,0.677
hsa_circ_0004887,Colorectal cancer,0.6759
hsa_circ_0074033,Colorectal cancer,0.6742
hsa_circ_0001900,Colorectal cancer,0.6729
hsa_circ_0048232,Colorectal cancer,0.6718
circ_0000467,Colorectal cancer,0.6714
hsa_circ_0005317,Colorectal cancer,0.6697
hsa_circ_0001550,Colorectal cancer,0.667
hsa_circ_0030632,Colorectal cancer,0.6643
hsa_circ_0004380,Colorectal cancer,0.6628
hsa_circ_0001178,Colorectal cancer,0.6617
hsa_circ_0004585,Colorectal cancer,0.6611
hsa_circ_0074930,Colorectal cancer,0.6548
hsa_circ_0140388,Colorectal cancer,0.6543
hsa_circ_0005963,Colorectal cancer,0.6505
hsa_circ_0049487,Colorectal cancer,0.6451
hsa_circ_0105346,Colorectal cancer,0.6446
hsa_circ_000425,Colorectal cancer,0.644
hsa_circ_0066875,Colorectal cancer,0.6435
circ_0000218,Colorectal cancer,0.6404
hsa_circ_0101802,Colorectal cancer,0.6404
hsa_circ_0009361,Colorectal cancer,0.6401
hsa_circ_0072567,Colorectal cancer,0.6379
hsa_circ_0004680,Colorectal cancer,0.6367
hsa_circ_0007701,Colorectal cancer,0.6359
hsa_circ_0006174,Colorectal cancer,0.6356
circ_0115744,Colorectal cancer,0.631
hsa_circ_0000372,Colorectal cancer,0.6307
circ_0060745,Colorectal cancer,0.6302
hsa_circ_0126897,Colorectal cancer,0.6241
hsa_circ_0084021,Colorectal cancer,0.6198
circ_0026344,Colorectal cancer,0.5929
hsa_circ_0076248,Colorectal cancer,0.5827
hsa_circ_0001190,Colorectal cancer,0.5793
hsa_circ_0063561,Colorectal cancer,0.574
hsa_circ_0075686,Colorectal cancer,0.5723
hsa_circ_0010575,Colorectal cancer,0.5712
circ_0091581,Colorectal cancer,0.5709
hsa_circ_0100759,Colorectal cancer,0.57
hsa_circ_0100129,Colorectal cancer,0.5678
hsa_circ_0091581,Colorectal cancer,0.5662
circ_0006404,Colorectal cancer,0.5649
hsa_circ_0001283,Colorectal cancer,0.564
hsa_circ_0047688,Colorectal cancer,0.5639
hsa_circ_0091579,Colorectal cancer,0.5636
hsa_circ_0036474,Colorectal cancer,0.5632
hsa_circ_0001907,Colorectal cancer,0.5627
