miRNA,disease,preScore
hsa-mir-150,Alzheimer Disease,0.7968
hsa-mir-223,Alzheimer Disease,0.7877
hsa-mir-126,Alzheimer Disease,0.7852
hsa-mir-221,Alzheimer Disease,0.7838
hsa-mir-145,Alzheimer Disease,0.7595
hsa-mir-22,Alzheimer Disease,0.7432
hsa-mir-122,Alzheimer Disease,0.7236
hsa-mir-146b,Alzheimer Disease,0.7229
hsa-mir-210,Alzheimer Disease,0.7012
hsa-mir-30a,Alzheimer Disease,0.6999
hsa-mir-19a,Alzheimer Disease,0.6914
hsa-mir-23a,Alzheimer Disease,0.683
hsa-mir-182,Alzheimer Disease,0.6817
hsa-mir-106a,Alzheimer Disease,0.6781
hsa-mir-27b,Alzheimer Disease,0.677
hsa-mir-214,Alzheimer Disease,0.676
hsa-mir-130a,Alzheimer Disease,0.6713
hsa-mir-25,Alzheimer Disease,0.6635
hsa-mir-30b,Alzheimer Disease,0.6599
hsa-mir-16-1,Alzheimer Disease,0.6588
hsa-let-7e,Alzheimer Disease,0.6542
hsa-mir-192,Alzheimer Disease,0.6532
hsa-mir-125a,Alzheimer Disease,0.6526
hsa-mir-19b-1,Alzheimer Disease,0.6522
hsa-let-7c,Alzheimer Disease,0.6478
hsa-mir-23b,Alzheimer Disease,0.6427
hsa-mir-183,Alzheimer Disease,0.6395
hsa-let-7a-3,Alzheimer Disease,0.627
hsa-mir-497,Alzheimer Disease,0.6233
hsa-mir-1-2,Alzheimer Disease,0.617
hsa-mir-34b,Alzheimer Disease,0.6159
hsa-mir-424,Alzheimer Disease,0.6153
hsa-mir-335,Alzheimer Disease,0.6113
hsa-mir-200b,Alzheimer Disease,0.6112
hsa-let-7a-1,Alzheimer Disease,0.6084
hsa-mir-204,Alzheimer Disease,0.6084
hsa-mir-370,Alzheimer Disease,0.6077
hsa-mir-149,Alzheimer Disease,0.6036
hsa-mir-10b,Alzheimer Disease,0.6028
hsa-mir-30e,Alzheimer Disease,0.6023
hsa-mir-134,Alzheimer Disease,0.6006
hsa-mir-99a,Alzheimer Disease,0.5996
hsa-mir-133a-2,Alzheimer Disease,0.5978
hsa-mir-197,Alzheimer Disease,0.5951
hsa-let-7a-2,Alzheimer Disease,0.5934
hsa-mir-494,Alzheimer Disease,0.5928
hsa-mir-181a-2,Alzheimer Disease,0.5916
hsa-mir-135b,Alzheimer Disease,0.5916
hsa-mir-193a,Alzheimer Disease,0.5906
hsa-mir-199b,Alzheimer Disease,0.5879
hsa-mir-1-1,Alzheimer Disease,0.5878
hsa-mir-96,Alzheimer Disease,0.5876
hsa-mir-92a-1,Alzheimer Disease,0.5871
hsa-mir-199a-1,Alzheimer Disease,0.5844
hsa-mir-133a-1,Alzheimer Disease,0.5838
hsa-let-7i,Alzheimer Disease,0.5834
hsa-mir-28,Alzheimer Disease,0.5833
hsa-mir-199a-2,Alzheimer Disease,0.5825
hsa-mir-205,Alzheimer Disease,0.5825
hsa-mir-152,Alzheimer Disease,0.5811
hsa-mir-20b,Alzheimer Disease,0.5799
hsa-mir-92b,Alzheimer Disease,0.5779
hsa-let-7f-1,Alzheimer Disease,0.5777
hsa-mir-196b,Alzheimer Disease,0.5774
hsa-mir-33a,Alzheimer Disease,0.5766
hsa-mir-429,Alzheimer Disease,0.572
hsa-mir-326,Alzheimer Disease,0.5712
hsa-let-7f-2,Alzheimer Disease,0.5706
hsa-mir-127,Alzheimer Disease,0.5679
hsa-mir-381,Alzheimer Disease,0.566
hsa-mir-196a-2,Alzheimer Disease,0.5648
hsa-mir-140,Alzheimer Disease,0.5623
hsa-mir-503,Alzheimer Disease,0.5618
hsa-mir-24-1,Alzheimer Disease,0.5565
hsa-mir-383,Alzheimer Disease,0.5563
hsa-mir-7-1,Alzheimer Disease,0.5542
hsa-mir-340,Alzheimer Disease,0.5533
hsa-mir-7-3,Alzheimer Disease,0.5529
hsa-mir-33b,Alzheimer Disease,0.5528
hsa-mir-30d,Alzheimer Disease,0.5527
hsa-mir-363,Alzheimer Disease,0.552
hsa-mir-215,Alzheimer Disease,0.5507
hsa-mir-378a,Alzheimer Disease,0.5496
hsa-mir-141,Alzheimer Disease,0.5494
hsa-mir-451a,Alzheimer Disease,0.5473
hsa-mir-184,Alzheimer Disease,0.547
hsa-mir-92a-2,Alzheimer Disease,0.5451
hsa-mir-328,Alzheimer Disease,0.5451
hsa-mir-7-2,Alzheimer Disease,0.5443
hsa-mir-19b-2,Alzheimer Disease,0.5437
hsa-mir-101-2,Alzheimer Disease,0.5433
hsa-mir-638,Alzheimer Disease,0.5421
hsa-mir-32,Alzheimer Disease,0.5415
hsa-mir-410,Alzheimer Disease,0.5414
hsa-mir-542,Alzheimer Disease,0.5406
hsa-mir-181b-2,Alzheimer Disease,0.5402
