AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.944807535,0.946740318,0.826838088,0.901968662,0.838938714,0.864403375,0.869531552
0.94139953,0.941017832,0.840096424,0.89513861,0.84843869,0.867617517,0.871383894
0.944872425,0.946159614,0.822016874,0.90960225,0.836350203,0.865809562,0.871656725
0.943201109,0.942952749,0.806749699,0.91683407,0.825913862,0.861791884,0.86921759
0.948580504,0.948695601,0.86621133,0.890719164,0.869411765,0.878465247,0.88015873
0.939686247,0.941612358,0.859783045,0.872639614,0.861562872,0.86621133,0.867291958
0.940115294,0.940209377,0.79027722,0.924467658,0.815090329,0.857372439,0.866553736
0.950700559,0.949511539,0.826838088,0.922860587,0.842008798,0.874849337,0.88079724
0.939801176,0.939820729,0.836480514,0.893933307,0.845364742,0.86520691,0.869191722
0.944629814,0.943194497,0.842105263,0.906789875,0.851698113,0.874447569,0.878599222
0.94232655,0.943011658,0.862193652,0.876255524,0.864104596,0.869224588,0.870362984
0.944484862,0.946482453,0.823623945,0.910004018,0.837647929,0.866813982,0.872545245
0.943702956,0.940799834,0.861390117,0.89513861,0.865915274,0.878264363,0.880505629
0.942071188,0.94288568,0.840498192,0.905584572,0.85024519,0.873041382,0.877261233
0.942094271,0.941407021,0.847730012,0.886299719,0.853384913,0.867014865,0.869753695
0.93456512,0.933338055,0.809562073,0.90960225,0.826880935,0.859582162,0.866488141
0.946772307,0.947250883,0.844917638,0.901566894,0.853231939,0.873242266,0.876953125
0.947815063,0.948745037,0.827239855,0.918842909,0.84173721,0.873041382,0.878816977
0.943573176,0.946075017,0.85897951,0.886299719,0.862729761,0.872639614,0.874578958
0.941448763,0.94263573,0.849738851,0.886299719,0.85503876,0.868019285,0.87061144
0.943196105,0.946348694,0.822418642,0.907995179,0.836417469,0.86520691,0.870955316
0.944445637,0.945802688,0.846926476,0.899156288,0.854524628,0.873041382,0.876492464
0.945995405,0.946133315,0.858175974,0.884692648,0.86183953,0.871434311,0.873339941
0.947293523,0.945907678,0.863398955,0.899558055,0.868165956,0.881478505,0.883803512
0.94683526,0.947025158,0.81558859,0.921253515,0.833212209,0.868421053,0.875238459
0.942854224,0.944414445,0.834873443,0.900763359,0.84508104,0.867818401,0.872253549
0.944003031,0.946284546,0.872237847,0.879067899,0.873104549,0.875652873,0.876301041
0.941602593,0.943087938,0.856970671,0.882683809,0.860556208,0.86982724,0.871703351
0.944812539,0.944894547,0.872639614,0.881076738,0.873705179,0.876858176,0.8776
0.94132318,0.941318845,0.830855765,0.897950984,0.841490964,0.864403375,0.869024485
0.94046105,0.93840724,0.813579751,0.921655283,0.831762146,0.867617517,0.874618902
0.945921476,0.94556853,0.858175974,0.890719164,0.862645914,0.874447569,0.876679842
0.943512645,0.943126215,0.842105263,0.900361591,0.850797267,0.871233427,0.87509758
0.943658082,0.945272817,0.817195661,0.912012857,0.833027523,0.864604259,0.870949185
0.943090216,0.942906647,0.859381278,0.879469667,0.862150453,0.869425472,0.870948499
0.939788262,0.938943289,0.86259542,0.870630775,0.863690713,0.866613098,0.867373475
0.948046535,0.950246255,0.859783045,0.897549217,0.864885792,0.878666131,0.881135423
0.94666674,0.947740979,0.878264363,0.879067899,0.878362104,0.878666131,0.878939972
0.943352196,0.945156932,0.853756529,0.889915629,0.858860023,0.871836079,0.874334188
0.941493798,0.939929334,0.867818401,0.872639614,0.868452619,0.870229008,0.870767381
0.944435468,0.943531533,0.84813178,0.891924468,0.854503464,0.870028124,0.873034591
0.942815968,0.941631177,0.820008035,0.915226999,0.83565664,0.867617517,0.873849693
0.943537987,0.945677801,0.801526718,0.92406589,0.823192555,0.862796304,0.870931113
0.946849787,0.946793119,0.836882282,0.914021695,0.848563969,0.875451989,0.880293947
0.946733405,0.944790092,0.856970671,0.905584572,0.863601533,0.881277622,0.884313725
0.945285007,0.946831753,0.824427481,0.914423463,0.838923701,0.869425472,0.875264271
0.947120807,0.948256865,0.850542387,0.907995179,0.858662614,0.879268783,0.882858258
0.935381892,0.933727075,0.831257533,0.895540378,0.841449604,0.863398955,0.867873127
0.941283148,0.941437149,0.850944154,0.887103254,0.856145793,0.869023704,0.871572302
0.945572814,0.946207486,0.858175974,0.887103254,0.862163217,0.872639614,0.874678282
0.950665532,0.948364403,0.850140619,0.908396947,0.858390281,0.879268783,0.882903981
0.945692586,0.945610039,0.864202491,0.887103254,0.867242734,0.875652873,0.877283558
0.939631849,0.939186004,0.846524709,0.88429088,0.85210995,0.865407794,0.86812537
0.943711672,0.944956349,0.844917638,0.889112093,0.851481339,0.867014865,0.870112006
0.93730292,0.93550645,0.858577742,0.878264363,0.861308117,0.868421053,0.869928401
0.946086444,0.94593682,0.852952993,0.889915629,0.858194498,0.871434311,0.873989351
0.941231818,0.94111132,0.796303736,0.917637605,0.818344679,0.856970671,0.865366408
0.942054078,0.942847767,0.814785054,0.910004018,0.830887748,0.862394536,0.868865031
0.945020929,0.947029948,0.826838088,0.91321816,0.840606509,0.870028124,0.875625722
0.943005633,0.942767229,0.839292889,0.903575733,0.848999622,0.871434311,0.875656743
0.94196546,0.940443773,0.843310566,0.8915227,0.85051744,0.867416633,0.870758972
0.94132205,0.940931721,0.862997188,0.87705906,0.864896989,0.870028124,0.87116075
0.948032008,0.950393111,0.84451587,0.899558055,0.85262757,0.872036963,0.875684128
0.938357136,0.937122169,0.844114102,0.887505022,0.850596843,0.865809562,0.868881463
0.941454089,0.941425669,0.81558859,0.918039373,0.832725948,0.866813982,0.873519297
0.941202117,0.942564267,0.856970671,0.882282041,0.860501567,0.869626356,0.871479572
0.949701547,0.949855656,0.845721173,0.911209321,0.85520362,0.878465247,0.882535978
0.941459416,0.942149407,0.87344315,0.870229008,0.873035067,0.871836079,0.871856769
0.941823735,0.940336579,0.862193652,0.883487344,0.865066876,0.872840498,0.874403816
0.935921348,0.937212993,0.843712334,0.87705906,0.848755832,0.860385697,0.86290004
0.939238798,0.935258573,0.82643632,0.910405785,0.839881394,0.868421053,0.873939861
0.944159928,0.946729991,0.849337083,0.888308558,0.854988399,0.86882282,0.871552403
0.94332185,0.942712703,0.844114102,0.896745681,0.851908397,0.870429892,0.873972603
0.943512483,0.945853491,0.850140619,0.886701487,0.855426357,0.868421053,0.871005917
0.943568495,0.94320127,0.844917638,0.906789875,0.85395384,0.875853757,0.879797389
0.943027586,0.943821132,0.842105263,0.897549217,0.850399695,0.86982724,0.873558726
0.947411681,0.948262819,0.850140619,0.902772198,0.857633588,0.876456408,0.879843444
0.944710846,0.944878224,0.813981519,0.919244677,0.831697565,0.866613098,0.873497424
0.947093689,0.946863744,0.850944154,0.90237043,0.85823462,0.876657292,0.87996867
0.941192916,0.942080989,0.855765368,0.883889112,0.859710825,0.86982724,0.871855813
0.941436334,0.942889299,0.839694656,0.890317397,0.847418738,0.865006027,0.868560235
0.941202601,0.94114343,0.816793893,0.907593411,0.832044199,0.862193652,0.868395773
0.945964736,0.945184683,0.86259542,0.899156288,0.86744186,0.880875854,0.883234714
0.940390511,0.940141341,0.835676979,0.893129771,0.844604863,0.864403375,0.868410777
0.946621704,0.948313114,0.848935315,0.899558055,0.856214149,0.874246685,0.877571009
0.944450318,0.944645314,0.807553234,0.922057051,0.827325162,0.864805143,0.872340426
0.942301369,0.943832306,0.850944154,0.88790679,0.856257265,0.869425472,0.872017354
0.94237433,0.942709404,0.82282041,0.908396947,0.836787565,0.865608678,0.871340524
0.941852629,0.94136358,0.852952993,0.890317397,0.858249419,0.871635195,0.874211356
0.940188416,0.941944955,0.83728405,0.896745681,0.846416382,0.867014865,0.871074703
0.940641676,0.941939795,0.843310566,0.888710325,0.850115296,0.866010446,0.869206599
0.944206417,0.944756545,0.830855765,0.910807553,0.843377976,0.870831659,0.876013905
0.945868692,0.943310059,0.850944154,0.897147449,0.857526882,0.874045802,0.877110326
0.94705963,0.947565458,0.85174769,0.903977501,0.859106529,0.877862595,0.881190057
0.946660445,0.945526969,0.843712334,0.899959823,0.852034994,0.871836079,0.875561633
0.944125224,0.944825022,0.858175974,0.892728003,0.862912621,0.875451989,0.877788746
0.94852772,0.94895189,0.83728405,0.910807553,0.848428144,0.874045802,0.878729175
0.940349026,0.940773358,0.820008035,0.905584572,0.834196891,0.862796304,0.868644068
0.943502637,0.944427904,0.873041382,0.870229008,0.87268332,0.871635195,0.871681416
0.941103491,0.942095902,0.834069908,0.900763359,0.844444444,0.867416633,0.87191448
