AUC,AUPR,SPE,SEN,PRE,ACC,F1
0.869543231,0.87616214,0.785714286,0.813186813,0.79144385,0.799450549,0.803788904
0.82691553,0.833176094,0.706043956,0.791208791,0.729113924,0.748626374,0.760526316
0.889657046,0.888746844,0.744505495,0.876373626,0.774271845,0.81043956,0.823680824
0.886902246,0.881501058,0.815934066,0.824175824,0.817438692,0.820054945,0.822404372
0.895294952,0.890719884,0.81043956,0.846153846,0.816976127,0.828296703,0.832884097
0.86908284,0.859578315,0.758241758,0.835164835,0.775510204,0.796703297,0.805812417
0.867369581,0.867322342,0.752747253,0.851648352,0.775,0.802197802,0.813071895
0.837247917,0.839008235,0.57967033,0.887362637,0.678571429,0.733516484,0.770511296
0.871996136,0.888376101,0.681318681,0.870879121,0.732101617,0.776098901,0.796992481
0.838613996,0.849302733,0.662087912,0.846153846,0.714617169,0.754120879,0.77638191
0.891513706,0.885464493,0.78021978,0.843406593,0.793281654,0.811813187,0.819148936
0.871920662,0.877615795,0.733516484,0.85989011,0.763414634,0.796703297,0.810322581
0.853180473,0.859099272,0.744505495,0.826923077,0.763959391,0.785714286,0.795783926
0.87572455,0.875453982,0.68956044,0.89010989,0.741418764,0.789835165,0.810473815
0.873475426,0.87342297,0.642857143,0.912087912,0.718614719,0.777472527,0.805320435
0.872486717,0.881114829,0.642857143,0.912087912,0.718614719,0.777472527,0.805320435
0.875015095,0.863681951,0.695054945,0.903846154,0.747727273,0.799450549,0.819875776
0.818137906,0.823716346,0.697802198,0.802197802,0.726368159,0.75,0.764015645
0.872101799,0.875230271,0.873626374,0.771978022,0.859327217,0.822802198,0.815028902
0.847089723,0.828970016,0.813186813,0.755494505,0.801749271,0.784340659,0.779661017
0.86876585,0.859806648,0.774725275,0.843406593,0.789203085,0.809065934,0.816976127
0.851150223,0.840963459,0.695054945,0.857142857,0.737588652,0.776098901,0.794416244
0.871973494,0.871816098,0.711538462,0.873626374,0.75177305,0.792582418,0.80964467
0.857550417,0.85807859,0.741758242,0.824175824,0.76142132,0.782967033,0.79314888
0.868501691,0.878741905,0.681318681,0.887362637,0.735763098,0.784340659,0.805970149
0.851965342,0.849258565,0.758241758,0.835164835,0.775510204,0.796703297,0.805812417
0.840319708,0.843460825,0.68956044,0.857142857,0.734117647,0.773351648,0.792405063
